Company,Ticker Symbol,Stock Exchange,Sector,Sub-Industry,HQ City,HQ State,Employees,Founded,MarketCap ($Billions),Price,Price-26-week,Price-52-week,High-52-week,Low-52-week,Volume (thousands of shares)
Apple,AAPL,Nasdaq,Information Technology,"Technology Hardware, Storage & Peripherals",Cupertino,California,"154,000",1977,"2,226.92",137.35,161.41,126.90,182.94,123.13,"117,726"
Microsoft,MSFT,Nasdaq,Information Technology,Systems Software,Redmond,Washington,"181,000",1975,"1,888.91",253.14,337.68,251.72,349.67,243.00,"33,175"
Alphabet (Class C),GOOG,Nasdaq,Communication Services,Interactive Media & Services,Mountain View,California,"163,906",1998,"1,436.86","2,214.91","2,935.14","2,409.07","3,042.00","2,127.46","1,578"
Alphabet (Class A),GOOGL,Nasdaq,Communication Services,Interactive Media & Services,Mountain View,California,"163,906",1998,"1,436.86","2,207.68","2,915.64","2,362.87","3,030.93","2,115.93","1,859"
Amazon,AMZN,Nasdaq,Consumer Discretionary,Internet & Direct Marketing Retail,Seattle,Washington,"1,608,000",1994,"1,094.68","2,146.38","3,580.04","3,259.05","3,773.08","2,048.11","5,390"
Tesla,TSLA,Nasdaq,Consumer Discretionary,Automobile Manufacturers,Palo Alto,California,"99,290",2003,687.81,709.42,"1,109.03",604.69,"1,243.49",571.07,"29,635"
Berkshire Hathaway,BRK.B,NYSE,Financials,Multi-Sector Holdings,Omaha,Nebraska,"372,000",1839,671.09,304.15,288.56,287.20,362.10,270.73,"4,146"
Meta,FB,Nasdaq,Communication Services,Interactive Media & Services,Menlo Park,California,"77,805",2004,523.78,191.29,337.25,327.79,384.33,169.00,"25,059"
Johnson & Johnson,JNJ,NYSE,Health Care,Pharmaceuticals,New Brunswick,New Jersey,"141,700",1886,465.71,173.94,160.69,170.08,186.69,155.72,"7,041"
UnitedHealth Group,UNH,NYSE,Health Care,Managed Health Care,Minnetonka,Minnesota,"350,000",1977,455.70,478.55,447.13,413.05,553.29,383.12,"2,280"
Nvidia,NVDA,Nasdaq,Information Technology,Semiconductors,Santa Clara,California,"22,473",1993,418.02,171.24,317.46,156.48,346.47,142.71,"63,989"
Visa,V,NYSE,Information Technology,Data Processing & Outsourced Services,San Francisco,California,"21,500",1958,414.61,197.37,198.49,229.02,252.67,186.67,"12,187"
ExxonMobil,XOM,NYSE,Energy,Integrated Oil & Gas,Irving,Texas,"63,000",1999,386.96,91.14,63.13,58.26,93.59,52.10,"27,239"
JPMorgan Chase,JPM,NYSE,Financials,Diversified Banks,New York City,New York,"273,948",1799,344.63,118.31,168.28,161.85,172.96,115.02,"24,377"
Procter & Gamble,PG,NYSE,Consumer Staples,Personal Products,Cincinnati,Ohio,"3,000",1837,340.20,141.70,149.44,138.43,165.35,131.94,"7,134"
Chevron,CVX,NYSE,Energy,Integrated Oil & Gas,San Ramon,California,"42,595",1879,329.74,166.86,116.30,103.87,175.65,92.86,"10,216"
Walmart,WMT,NYSE,Consumer Staples,Hypermarkets & Super Centers,Bentonville,Arkansas,"2,300,000",1962,328.13,119.07,145.81,142.34,160.77,117.27,"14,560"
Mastercard,MA,NYSE,Information Technology,Data Processing & Outsourced Services,Harrison,New York,"24,000",1966,326.98,332.22,329.00,367.22,399.92,305.61,"3,421"
Home Depot,HD,NYSE,Consumer Discretionary,Home Improvement Retail,Atlanta,Georgia,"490,600",1978,296.77,287.76,408.37,316.75,420.61,279.59,"4,306"
Pfizer,PFE,NYSE,Health Care,Pharmaceuticals,New York City,New York,"79,000",1849,294.40,50.65,51.08,39.33,61.71,38.48,"24,036"
Lilly,LLY,NYSE,Health Care,Pharmaceuticals,Indianapolis,Indiana,"35,000",1876,283.96,286.27,261.96,199.22,314.00,195.50,"2,874"
Bank of America,BAC,NYSE,Financials,Diversified Banks,Charlotte,North Carolina,"208,000",1998,272.81,34.45,47.50,42.01,50.11,32.96,"69,082"
AbbVie,ABBV,NYSE,Health Care,Pharmaceuticals,North Chicago,Illinois,"50,000",2013,266.85,151.72,118.88,114.56,175.91,105.56,"6,886"
Coca-Cola,KO,NYSE,Consumer Staples,Soft Drinks,Atlanta,Georgia,"79,000",1886,264.35,60.00,55.88,54.79,67.20,52.28,"19,407"
Merck,MRK,NYSE,Health Care,Pharmaceuticals,Kenilworth,New Jersey,"68,000",1891,236.57,92.09,82.80,73.90,94.56,70.89,"9,067"
PepsiCo,PEP,Nasdaq,Consumer Staples,Soft Drinks,Purchase,New York,"309,000",1898,224.29,161.20,165.25,148.30,177.62,144.61,"4,658"
Broadcom,AVGO,Nasdaq,Information Technology,Semiconductors,San Jose,California,"20,000",1961,221.77,546.21,555.12,459.54,677.76,445.33,"5,859"
Thermo Fisher Scientific,TMO,NYSE,Health Care,Life Sciences Tools & Services,Waltham,Massachusetts,"130,000",2006,217.32,550.74,632.76,464.02,672.34,438.72,"1,181"
Verizon,VZ,NYSE,Communication Services,Integrated Telecommunication Services,New York City,New York,"118,400",1983,208.01,49.10,51.75,56.48,57.61,45.55,"16,762"
Abbott,ABT,NYSE,Health Care,Health Care Equipment,North Chicago,Illinois,"113,000",1888,198.28,112.44,124.48,118.40,142.60,104.63,"4,357"
Comcast,CMCSA,Nasdaq,Communication Services,Cable & Satellite,Philadelphia,Pennsylvania,"189,000",1963,190.15,42.88,52.04,55.70,61.80,39.47,"20,260"
Adobe,ADBE,Nasdaq,Information Technology,Application Software,San Jose,California,"25,988",1982,188.57,394.38,665.16,505.08,699.54,370.27,"2,338"
Disney,DIS,NYSE,Communication Services,Movies & Entertainment,Burbank,California,"190,000",1923,186.56,103.14,151.03,176.17,187.58,99.47,"14,402"
Costco,COST,Nasdaq,Consumer Staples,Hypermarkets & Super Centers,Issaquah,Washington,"288,000",1976,184.57,422.93,545.26,385.38,612.27,375.50,"3,687"
Accenture,ACN,NYSE,Information Technology,IT Consulting & Other Services,Dublin,Ireland,"624,000",1989,183.26,273.61,360.70,285.99,417.37,268.17,"2,129"
Oracle,ORCL,NYSE,Information Technology,Application Software,Austin,Texas,"132,000",1977,183.12,67.04,92.94,78.83,106.34,66.72,"7,370"
Danaher,DHR,NYSE,Health Care,Health Care Equipment,Washington,D.C.,"78,000",1969,183.08,249.31,313.52,255.14,333.96,233.71,"2,049"
Cisco,CSCO,Nasdaq,Information Technology,Communications Equipment,San Jose,California,"79,500",1984,178.38,41.72,55.30,53.31,64.29,41.02,"27,367"
McDonald's,MCD,NYSE,Consumer Discretionary,Restaurants,Chicago,Illinois,"200,000",1940,172.99,229.00,255.65,232.14,271.15,217.68,"3,053"
Intel,INTC,Nasdaq,Information Technology,Semiconductors,Santa Clara,California,"121,100",1968,170.31,42.01,49.10,56.87,58.42,40.31,"27,199"
Nike,NKE,NYSE,Consumer Discretionary,"Apparel, Accessories & Luxury Goods",Washington County,Oregon,"73,300",1964,169.97,106.44,172.15,134.32,179.10,105.00,"7,136"
Bristol Myers Squibb,BMY,NYSE,Health Care,Health Care Distributors,New York City,New York,"32,200",1989,162.21,75.96,57.45,66.76,78.47,53.22,"13,539"
Salesforce,CRM,NYSE,Information Technology,Application Software,San Francisco,California,"73,541",1999,158.62,155.60,291.42,227.71,311.75,154.55,"6,149"
Linde,LIN,NYSE,Materials,Industrial Gases,Guildford,UK,"72,507",1879,158.45,310.70,330.25,301.25,352.18,267.51,"1,981"
T-Mobile,TMUS,Nasdaq,Communication Services,Wireless Telecommunication Services,Bellevue,Washington,"75,000",1994,158.00,125.88,115.46,136.76,150.20,101.51,"4,133"
Wells Fargo,WFC,NYSE,Financials,Diversified Banks,San Francisco,California,"246,577",1852,157.94,42.00,51.40,46.09,60.30,40.74,"27,979"
Philip Morris International,PM,NYSE,Consumer Staples,Tobacco,New York City,New York,"69,600",2008,156.79,100.50,89.65,97.52,112.48,85.64,"6,297"
Texas Instruments,TXN,Nasdaq,Information Technology,Semiconductors,Dallas,Texas,"31,000",1930,156.59,167.62,192.64,188.70,202.26,160.50,"5,384"
AMD,AMD,Nasdaq,Information Technology,Semiconductors,Santa Clara,California,"15,500",1969,151.52,96.67,149.92,77.86,164.46,76.25,"128,773"
United Parcel Service,UPS,NYSE,Industrials,Air Freight & Logistics,Sandy Springs,Georgia,"534,000",1907,149.45,167.39,211.81,211.49,233.72,165.34,"2,838"
Qualcomm,QCOM,Nasdaq,Information Technology,Semiconductors,San Diego,California,"45,000",1985,147.39,130.57,180.94,133.75,193.58,122.17,"10,023"
AT&T,T,NYSE,Communication Services,Integrated Telecommunication Services,Dallas,Texas,"203,000",1983,146.04,20.21,24.76,29.52,22.82,16.62,"46,775"
NextEra Energy,NEE,NYSE,Utilities,Multi-Utilities,Juno Beach,Florida,"15,000",1984,139.91,70.46,87.31,73.37,93.73,67.22,"10,379"
Morgan Stanley,MS,NYSE,Financials,Investment Banking & Brokerage,New York City,New York,"77,000",1935,138.84,79.96,101.86,88.86,109.73,76.75,"7,788"
Medtronic,MDT,NYSE,Health Care,Health Care Equipment,Dublin,Ireland,"90,000",1949,137.55,102.75,113.38,128.40,135.89,98.38,"4,134"
ConocoPhillips,COP,NYSE,Energy,Oil & Gas Exploration & Production,Houston,Texas,"9,400",2002,135.84,104.61,73.78,54.88,108.30,51.41,"8,647"
Union Pacific,UNP,NYSE,Industrials,Railroads,Omaha,Nebraska,"30,189",1862,134.13,216.50,247.37,221.94,278.94,195.68,"3,079"
Raytheon Technologies,RTX,NYSE,Industrials,Aerospace & Defense,Waltham,Massachusetts,"174,000",1922,133.97,90.25,87.31,86.26,106.02,79.00,"4,701"
Amgen,AMGN,Nasdaq,Health Care,Biotechnology,Thousand Oaks,California,"24,200",1980,132.21,244.77,204.53,242.00,258.45,198.64,"2,273"
Honeywell,HON,Nasdaq,Industrials,Industrial Conglomerates,Charlotte,North Carolina,"99,000",1906,129.17,192.65,216.00,224.04,236.86,174.42,"3,726"
CVS Health,CVS,NYSE,Health Care,Health Care Services,Woonsocket,Rhode Island,"300,000",1996,124.48,93.14,93.64,88.70,111.25,79.34,"6,136"
Lowe's,LOW,NYSE,Consumer Discretionary,Home Improvement Retail,Mooresville,North Carolina,"200,000",1904,120.42,187.86,251.91,193.02,263.31,179.22,"3,547"
Charles Schwab,SCHW,NYSE,Financials,Investment Banking & Brokerage,Westlake,Texas,"34,200",1971,120.00,62.66,82.94,71.63,96.24,61.53,"6,724"
Anthem,ANTM,NYSE,Health Care,Managed Health Care,Indianapolis,Indiana,"98,200",2014,118.82,479.92,423.66,395.15,533.68,355.43,"1,194"
S&P Global,SPGI,NYSE,Financials,Financial Exchanges & Data,New York City,New York,"22,850",1917,116.39,332.07,458.34,378.59,484.21,322.20,"2,753"
IBM,IBM,NYSE,Information Technology,IT Consulting & Other Services,Armonk,New York,"307,600",1911,115.56,129.66,116.79,143.79,145.99,114.56,"3,592"
American Express,AXP,NYSE,Financials,Consumer Finance,New York City,New York,"64,000",1850,115.40,154.00,170.85,158.01,199.55,149.71,"2,727"
Lockheed Martin,LMT,NYSE,Industrials,Aerospace & Defense,Bethesda,Maryland,"114,000",1995,112.87,425.62,345.18,385.85,479.99,324.23,"1,038"
American Tower,AMT,NYSE,Real Estate,Specialized REITs,Boston,Massachusetts,"6,378",1995,111.46,233.25,262.00,253.37,303.72,220.00,"1,697"
Caterpillar,CAT,NYSE,Industrials,Construction Machinery & Heavy Trucks,Deerfield,Illinois,"107,700",1925,105.51,206.76,205.33,237.17,246.69,179.67,"3,247"
Goldman Sachs,GS,NYSE,Financials,Investment Banking & Brokerage,New York City,New York,"45,100",1869,105.37,308.20,406.34,364.51,426.16,293.90,"2,653"
Intuit,INTU,Nasdaq,Information Technology,Application Software,Mountain View,California,"13,500",1983,104.01,362.33,670.63,438.99,716.86,339.36,"1,799"
Citigroup,C,NYSE,Financials,Diversified Banks,New York City,New York,"228,000",1998,96.61,49.78,68.07,77.28,80.29,45.40,"35,167"
Deere & Co.,DE,NYSE,Industrials,Agricultural & Farm Machinery,Moline,Illinois,"75,550",1837,96.12,364.62,349.28,360.69,446.76,307.64,"4,286"
Applied Materials,AMAT,Nasdaq,Information Technology,Semiconductor Equipment,Santa Clara,California,"27,000",1967,94.05,110.74,148.92,137.50,167.06,101.33,"7,669"
PayPal,PYPL,Nasdaq,Information Technology,Data Processing & Outsourced Services,San Jose,California,"30,900",1998,93.27,81.28,188.05,258.65,310.16,71.83,"12,309"
Altria,MO,NYSE,Consumer Staples,Tobacco,Richmond,Virginia,"6,000",1985,92.50,51.09,44.24,49.61,57.05,42.53,"10,535"
Charter Communications,CHTR,Nasdaq,Communication Services,Cable & Satellite,Stamford,Connecticut,"93,700",1993,91.73,474.57,674.74,695.51,825.62,410.33,895
BlackRock,BLK,NYSE,Financials,Asset Management & Custody Banks,New York City,New York,"18,700",1988,90.97,593.08,935.43,874.27,973.16,582.58,919
Prologis,PLD,NYSE,Real Estate,Industrial REITs,San Francisco,California,"2,053",1983,88.62,119.72,152.58,118.18,174.54,115.25,"5,979"
Stryker,SYK,NYSE,Health Care,Health Care Equipment,Kalamazoo,Michigan,"46,000",1941,87.83,230.50,254.54,256.79,281.16,224.02,925
ADP,ADP,Nasdaq,Information Technology,Data Processing & Outsourced Services,Roseland,New Jersey,"56,000",1949,87.16,206.85,236.14,195.20,248.96,190.82,"1,488"
ServiceNow,NOW,NYSE,Information Technology,Systems Software,Santa Clara,California,"16,881",2003,86.81,426.76,636.91,479.90,707.60,406.47,"1,953"
Chubb,CB,NYSE,Financials,Property & Casualty Insurance,Zurich,Switzerland,"31,000",1985,86.44,203.88,192.95,165.67,218.99,155.78,"1,902"
Booking Holdings,BKNG,Nasdaq,Consumer Discretionary,Internet & Direct Marketing Retail,Norwalk,Connecticut,"20,300",1996,85.95,"2,103.40","2,341.13","2,339.01","2,715.66","1,796.45",296
Estée Lauder Companies,EL,NYSE,Consumer Staples,Personal Products,New York City,New York,"62,000",1946,84.77,235.38,349.76,305.19,374.20,225.39,"1,500"
Mondelez International,MDLZ,Nasdaq,Consumer Staples,Packaged Foods & Meats,Chicago,Illinois,"79,000",2012,84.68,61.11,61.41,63.71,69.47,57.63,"7,476"
Duke Energy,DUK,NYSE,Utilities,Electric Utilities,Charlotte,North Carolina,"27,605",1904,84.56,108.95,100.74,101.31,116.33,95.48,"2,577"
Analog Devices,ADI,Nasdaq,Information Technology,Semiconductors,Wilmington,Massachusetts,"24,700",1965,84.44,160.94,182.45,163.72,191.95,143.81,"2,291"
Starbucks,SBUX,Nasdaq,Consumer Discretionary,Restaurants,Seattle,Washington,"383,000",1971,84.17,71.93,113.58,112.63,126.32,68.39,"10,742"
GE,GE,NYSE,Industrials,Industrial Conglomerates,Boston,Massachusetts,"168,000",1892,82.83,75.74,102.08,104.96,116.17,71.14,"5,275"
Netflix,NFLX,Nasdaq,Communication Services,Movies & Entertainment,Los Gatos,California,"11,300",1997,82.79,183.48,654.06,501.34,700.99,162.71,"9,602"
Cigna,CI,NYSE,Health Care,Managed Health Care,Bloomfield,Connecticut,"73,700",1982,82.33,256.88,213.24,259.60,271.71,191.74,"1,092"
3M,MMM,NYSE,Industrials,Industrial Conglomerates,Saint Paul,Minnesota,"95,000",1902,81.85,146.96,179.46,201.71,206.81,139.74,"2,836"
Gilead,GILD,Nasdaq,Health Care,Biotechnology,Foster City,California,"14,400",1987,80.08,63.27,70.63,66.23,74.12,57.19,"7,257"
Crown Castle,CCI,NYSE,Real Estate,Specialized REITs,Houston,Texas,"5,000",1994,78.90,178.38,183.67,188.20,209.87,157.16,"1,385"
Intuitive Surgical,ISRG,Nasdaq,Health Care,Health Care Equipment,Sunnyvale,California,"9,793",1995,78.64,218.14,335.90,282.00,369.69,206.60,"1,496"
Southern Company,SO,NYSE,Utilities,Electric Utilities,Atlanta,Georgia,"27,300",1945,78.00,73.33,63.01,64.08,77.24,60.12,"3,927"
Micron,MU,Nasdaq,Information Technology,Semiconductors,Boise,Idaho,"43,000",1978,76.94,69.40,85.41,81.23,98.45,65.67,"12,356"
Zoetis,ZTS,NYSE,Health Care,Pharmaceuticals,Parsippany,New Jersey,"12,100",1952,76.51,158.63,223.66,176.62,249.27,156.67,"1,910"
Marsh & McLennan,MMC,NYSE,Financials,Insurance Brokers,New York City,New York,"83,000",1905,75.21,151.87,169.05,136.60,183.14,133.86,"1,528"
U.S. Bank,USB,NYSE,Financials,Diversified Banks,Minneapolis,Minnesota,"68,796",1968,73.11,49.24,60.07,59.65,63.57,47.68,"6,472"
Regeneron,REGN,Nasdaq,Health Care,Biotechnology,Tarrytown,New York,"10,368",1988,72.62,657.15,649.32,498.03,747.42,492.13,593
Target,TGT,NYSE,Consumer Discretionary,General Merchandise Stores,Minneapolis,Minnesota,"450,000",1902,72.04,153.43,249.18,225.30,268.98,150.89,"7,700"
Becton Dickinson,BDX,NYSE,Health Care,Health Care Equipment,Franklin Lakes,New Jersey,"75,000",1897,71.92,251.14,246.58,242.49,277.29,229.24,858
EOG Resources,EOG,NYSE,Energy,Oil & Gas Exploration & Production,Houston,Texas,"2,800",1999,71.49,121.70,91.76,78.68,132.35,60.86,"3,344"
Boeing,BA,NYSE,Industrials,Aerospace & Defense,Chicago,Illinois,"142,000",1916,71.41,127.14,209.13,240.74,258.40,117.08,"9,341"
CME Group,CME,Nasdaq,Financials,Financial Exchanges & Data,Chicago,Illinois,"3,480",1848,69.05,190.15,227.94,214.88,256.94,183.15,"1,879"
Northrop Grumman,NOC,NYSE,Industrials,Aerospace & Defense,West Falls Church,Virginia,"88,000",1930,68.91,448.50,364.21,369.99,490.82,344.89,562
TJX Companies,TJX,NYSE,Consumer Discretionary,Apparel Retail,Framingham,Massachusetts,"340,000",1987,67.96,61.41,70.95,67.27,77.35,53.69,"9,252"
CSX,CSX,Nasdaq,Industrials,Railroads,Jacksonville,Florida,"21,000",1980,67.27,30.94,36.48,33.02,38.63,29.49,"17,331"
Sherwin-Williams,SHW,NYSE,Materials,Specialty Chemicals,Cleveland,Ohio,"61,626",1866,67.10,259.37,327.49,285.59,354.15,233.32,"1,290"
Dominion Energy,D,NYSE,Utilities,Electric Utilities,Richmond,Virginia,"17,100",1983,66.96,82.21,74.82,76.01,88.78,70.37,"2,822"
Vertex,VRTX,Nasdaq,Health Care,Biotechnology,Cambridge,Massachusetts,"3,900",1989,66.14,255.45,186.85,208.76,292.75,176.36,"1,674"
Lam Research,LRCX,Nasdaq,Information Technology,Semiconductor Equipment,Fremont,California,"14,100",1980,65.77,472.13,661.32,640.37,731.85,442.53,"1,058"
Progressive,PGR,NYSE,Financials,Property & Casualty Insurance,Mayfield Village,Ohio,"49,000",1937,64.92,110.42,94.52,97.28,120.17,89.35,"2,088"
PNC Financial Services,PNC,NYSE,Financials,Regional Banks,Pittsburgh,Pennsylvania,"57,668",1845,64.51,154.75,209.09,191.70,228.14,152.35,"2,048"
Pioneer Natural Resources,PXD,NYSE,Energy,Oil & Gas Exploration & Production,Irving,Texas,"1,932",1997,64.48,265.42,188.06,148.32,279.98,133.73,"1,816"
Waste Management,WM,NYSE,Industrials,Environmental & Facilities Services,Houston,Texas,"48,500",1968,64.14,152.77,164.84,140.69,170.18,136.97,"1,782"
Colgate-Palmolive,CL,NYSE,Consumer Staples,Household Products,New York City,New York,"33,800",1806,62.95,75.12,77.93,84.59,85.61,72.20,"3,755"
Illinois Tool Works,ITW,NYSE,Industrials,Industrial Machinery,Glenview,Illinois,"45,000",1912,62.84,200.80,244.05,232.57,249.81,195.25,"1,007"
Fiserv,FISV,Nasdaq,Information Technology,Data Processing & Outsourced Services,Brookfield,Wisconsin,"44,000",1984,61.79,94.39,96.11,115.71,119.86,89.91,"2,586"
FIS,FIS,NYSE,Information Technology,Data Processing & Outsourced Services,Jacksonville,Florida,"65,000",1968,60.88,97.17,108.66,150.75,152.20,85.00,"2,604"
Truist,TFC,NYSE,Financials,Regional Banks,Charlotte,North Carolina,"50,283",1872,60.82,46.12,62.91,60.06,68.95,44.85,"6,485"
Activision Blizzard,ATVI,Nasdaq,Communication Services,Interactive Home Entertainment,Santa Monica,California,"9,800",2008,60.52,77.74,61.77,96.57,99.46,56.40,"4,128"
HCA Healthcare,HCA,NYSE,Health Care,Health Care Facilities,Nashville,Tennessee,"204,000",1968,60.51,203.13,241.67,210.21,279.02,198.69,"1,391"
Equinix,EQIX,Nasdaq,Real Estate,Specialized REITs,Redwood City,California,"10,944",1998,59.33,635.09,779.36,735.26,885.26,621.34,475
General Dynamics,GD,NYSE,Industrials,Aerospace & Defense,Falls Church,Virginia,"103,100",1899,59.29,217.78,200.29,188.91,254.99,182.66,"1,813"
Occidental Petroleum,OXY,NYSE,Energy,Oil & Gas Exploration & Production,Houston,Texas,"11,678",1920,59.29,63.96,31.92,24.62,69.17,21.62,"24,517"
Edwards Lifesciences,EW,NYSE,Health Care,Health Care Equipment,Irvine,California,"15,700",1958,58.64,94.37,112.63,96.68,131.73,91.02,"2,620"
Schlumberger,SLB,NYSE,Energy,Oil & Gas Equipment & Services,Curaçao,Netherlands,"92,000",1926,58.12,40.85,31.18,31.24,46.27,25.90,"13,288"
Boston Scientific,BSX,NYSE,Health Care,Health Care Equipment,Marlborough,Massachusetts,"41,000",1979,56.07,39.49,40.23,43.03,47.50,37.96,"6,663"
Aon,AON,NYSE,Financials,Insurance Brokers,London,UK,"50,000",1982,55.80,266.66,297.00,252.31,341.98,223.19,873
Humana,HUM,NYSE,Health Care,Managed Health Care,Louisville,Kentucky,"95,500",1961,55.61,432.00,437.23,441.88,472.68,351.20,597
Public Storage,PSA,NYSE,Real Estate,Specialized REITs,Glendale,California,"5,800",1972,54.92,309.77,330.38,278.77,421.76,275.23,698
Norfolk Southern,NSC,NYSE,Industrials,Railroads,Norfolk,Virginia,"18,100",1881,54.54,228.03,279.73,277.96,299.20,222.54,"1,160"
Intercontinental Exchange,ICE,NYSE,Financials,Financial Exchanges & Data,Atlanta,Georgia,"9,009",2000,54.50,95.90,132.05,112.38,139.79,93.45,"3,024"
Moderna,MRNA,Nasdaq,Health Care,Biotechnology,Cambridge,Massachusetts,"2,700",2010,54.19,143.38,276.38,169.26,497.49,119.01,"4,284"
Eaton,ETN,NYSE,Industrials,Electrical Components & Equipment,Dublin,Ireland,"85,947",1911,53.52,136.08,172.57,142.81,175.72,132.16,"2,170"
Moody's,MCO,NYSE,Financials,Financial Exchanges & Data,New York City,New York,"13,913",1909,53.37,282.76,386.61,333.02,407.94,276.79,716
Newmont,NEM,NYSE,Materials,Gold,Denver,Colorado,"14,400",1921,53.33,66.11,55.49,73.20,86.37,52.60,"5,417"
Air Products,APD,NYSE,Materials,Industrial Gases,Allentown,Pennsylvania,"20,625",1940,52.69,234.22,299.00,301.05,316.39,216.24,748
Freeport-McMoRan,FCX,NYSE,Materials,Copper,Phoenix,Arizona,"24,700",1912,52.62,36.72,38.68,40.68,51.99,30.02,"19,212"
Marathon Petroleum,MPC,NYSE,Energy,Oil & Gas Refining & Marketing,Findlay,Ohio,"17,700",2009,52.24,95.76,63.85,60.01,98.29,50.19,"5,440"
FedEx,FDX,NYSE,Industrials,Air Freight & Logistics,Memphis,Tennessee,"228,000",1971,52.07,199.05,246.43,308.59,319.90,192.82,"1,696"
GM,GM,NYSE,Consumer Discretionary,Automobile Manufacturers,Detroit,Michigan,"157,000",1908,51.62,36.12,63.05,56.76,67.21,34.39,"19,960"
American Electric Power,AEP,Nasdaq,Utilities,Electric Utilities,Columbus,Ohio,"16,688",1906,51.20,99.04,84.31,85.93,104.81,80.22,"2,486"
Marriott International,MAR,Nasdaq,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",Bethesda,Maryland,"120,000",1927,50.81,156.94,157.44,142.79,195.90,127.23,"1,832"
MetLife,MET,NYSE,Financials,Life & Health Insurance,New York City,New York,"43,000",1868,50.46,62.39,63.36,64.02,73.18,55.21,"4,984"
Sempra Energy,SRE,NYSE,Utilities,Multi-Utilities,San Diego,California,"15,390",1998,50.32,23.13,27.13,27.13,28.04,22.93,71
Ford,F,NYSE,Consumer Discretionary,Automobile Manufacturers,Dearborn,Michigan,"183,000",1903,50.25,12.85,20.20,12.81,25.87,12.07,"51,930"
Valero,VLO,NYSE,Energy,Oil & Gas Refining & Marketing,San Antonio,Texas,"9,813",1980,50.19,124.26,72.55,77.33,131.69,58.85,"5,266"
KLA,KLAC,Nasdaq,Information Technology,Semiconductor Equipment,Milpitas,California,"11,300",1975,50.07,338.52,411.98,317.92,457.12,287.44,"1,086"
Centene,CNC,NYSE,Health Care,Managed Health Care,St. Louis,Missouri,"72,500",1984,49.69,82.64,76.03,73.96,89.92,59.67,"2,431"
Emerson,EMR,NYSE,Industrials,Electrical Components & Equipment,Ferguson,Missouri,"86,700",1890,49.68,83.30,94.47,93.41,105.99,81.01,"2,822"
Dow,DOW,NYSE,Materials,Commodity Chemicals,Midland,Michigan,"35,700",2019,49.59,68.76,59.18,69.04,71.86,52.07,"6,582"
NXP,NXPI,Nasdaq,Information Technology,Semiconductors,Eindhoven,Netherlands,"31,000",1953,47.29,175.79,219.12,204.76,239.91,164.75,"1,892"
ADM,ADM,NYSE,Consumer Staples,Agricultural Products,Chicago,Illinois,"41,000",1902,47.27,83.86,66.75,66.59,98.88,56.91,"3,172"
Kraft Heinz,KHC,Nasdaq,Consumer Staples,Packaged Foods & Meats,Pittsburgh,Pennsylvania,"36,000",2015,46.96,38.56,35.82,44.15,44.95,32.79,"6,440"
McKesson,MCK,NYSE,Health Care,Health Care Distributors,Irving,Texas,"58,000",1833,46.93,319.13,226.45,196.02,339.94,184.43,842
Synopsys,SNPS,Nasdaq,Information Technology,Application Software,Mountain View,California,"16,361",1986,46.91,300.52,344.66,255.83,377.60,238.50,"1,022"
Monster Beverage,MNST,Nasdaq,Consumer Staples,Soft Drinks,Corona,California,"4,092",2012,46.42,86.76,88.62,93.03,99.89,71.78,"2,953"
Exelon,EXC,Nasdaq,Utilities,Multi-Utilities,Chicago,Illinois,"31,518",2000,46.22,47.35,38.78,32.02,50.71,31.20,"4,333"
