Company,Ticker Symbol,Stock Exchange,Sector,Sub-Industry,HQ City,HQ State,Employees,Founded,MarketCap ($Billions),Price,Price-26-week,Price-52-week,High-52-week,Low-52-week,Volume (thousands of shares)
Devon,DVN,NYSE,Energy,Oil & Gas Exploration & Production,Oklahoma City,Oklahoma,"1,600",1971,46.15,69.51,43.44,25.80,73.18,23.34,"9,610"
Fortinet,FTNT,Nasdaq,Information Technology,Systems Software,Sunnyvale,California,"10,860",2000,45.80,275.16,327.48,214.57,371.77,208.29,"1,404"
Ecolab,ECL,NYSE,Materials,Specialty Chemicals,Saint Paul,Minnesota,"47,000",1923,45.56,157.65,233.43,214.93,238.93,154.31,"1,043"
Phillips 66,PSX,NYSE,Energy,Oil & Gas Refining & Marketing,Houston,Texas,"14,000",2012,45.12,94.36,73.83,83.23,98.66,63.19,"4,221"
Capital One,COF,NYSE,Financials,Consumer Finance,Tysons Corner,Virginia,"51,500",1994,44.69,113.33,156.29,158.22,177.95,110.29,"2,244"
Constellation Brands,STZ,NYSE,Consumer Staples,Distillers & Vintners,Victor,New York,"10,000",1945,44.35,234.83,237.06,237.94,261.53,207.35,"1,201"
L3Harris,LHX,NYSE,Industrials,Aerospace & Defense,Melbourne,Florida,"47,000",2019,44.25,232.74,221.51,216.55,279.71,200.71,822
Roper,ROP,NYSE,Industrials,Industrial Conglomerates,Sarasota,Florida,"19,300",1981,44.21,413.18,485.64,445.87,505.00,402.06,625
AIG,AIG,NYSE,Financials,Property & Casualty Insurance,New York City,New York,"36,600",1919,44.06,57.90,58.90,50.80,65.73,44.54,"7,949"
Kimberly-Clark,KMB,NYSE,Consumer Staples,Household Products,Irving,Texas,"45,000",1872,43.24,129.05,135.79,132.10,145.79,117.32,"1,521"
Kinder Morgan,KMI,NYSE,Energy,Oil & Gas Storage & Transportation,Houston,Texas,"10,529",1997,43.15,19.02,16.33,18.54,20.19,15.01,"12,595"
Williams,WMB,NYSE,Energy,Oil & Gas Storage & Transportation,Tulsa,Oklahoma,"4,783",1908,43.09,35.02,28.08,25.94,37.05,23.53,"8,474"
Warner Bros. Discovery,WBD,Nasdaq,Communication Services,Broadcasting,New York City,New York,"11,000",1972,43.05,17.50,25.60,30.66,33.51,16.51,"17,870"
Dollar General,DG,NYSE,Consumer Discretionary,General Merchandise Stores,Goodlettsville,Tennessee,"163,000",1939,42.92,201.33,225.14,198.87,262.21,183.25,"2,936"
Corteva,CTVA,NYSE,Materials,Fertilizers & Agricultural Chemicals,Wilmington,Delaware,"21,000",2019,42.86,59.00,47.90,44.60,62.04,40.60,"4,956"
Hershey's,HSY,NYSE,Consumer Staples,Packaged Foods & Meats,Hershey,Pennsylvania,"16,620",1894,42.56,205.12,182.21,174.72,231.60,167.80,976
Paychex,PAYX,Nasdaq,Information Technology,Data Processing & Outsourced Services,Penfield,New York,"15,000",1971,42.36,115.84,125.47,101.09,141.92,98.41,"1,802"
Autodesk,ADSK,Nasdaq,Information Technology,Application Software,San Rafael,California,"12,600",1982,41.64,193.72,304.00,289.47,344.39,175.41,"3,781"
Realty Income,O,NYSE,Real Estate,Retail REITs,San Diego,California,367,1969,40.90,67.15,69.90,68.84,75.40,62.74,"6,075"
Republic Services,RSG,NYSE,Industrials,Environmental & Facilities Services,Phoenix,Arizona,"35,000",1998,40.89,127.51,137.88,108.63,145.98,106.46,"1,177"
Amphenol,APH,NYSE,Information Technology,Electronic Components,Wallingford,Connecticut,"90,000",1932,40.86,67.59,84.80,66.96,88.45,65.84,"2,125"
Cadence,CDNS,Nasdaq,Information Technology,Application Software,San Jose,California,"9,300",1988,40.43,143.83,181.58,127.49,192.70,122.04,"1,333"
Xcel Energy,XEL,Nasdaq,Utilities,Multi-Utilities,Minneapolis,Minnesota,"11,321",1909,40.42,75.01,65.84,71.24,76.05,61.16,"2,723"
Travelers,TRV,NYSE,Financials,Property & Casualty Insurance,New York City,New York,"30,800",1853,40.37,169.30,160.26,156.55,187.98,144.44,"1,454"
General Mills,GIS,NYSE,Consumer Staples,Packaged Foods & Meats,Golden Valley,Minnesota,"35,000",1856,40.35,66.13,63.44,62.85,73.99,56.67,"3,505"
Welltower,WELL,NYSE,Real Estate,Health Care REITs,Toledo,Ohio,464,1970,40.00,87.52,85.78,74.83,99.43,72.27,"2,152"
TE Connectivity,TEL,NYSE,Information Technology,Electronic Manufacturing Services,Schaffhausen,Switzerland,"89,000",2007,39.52,122.68,160.75,133.94,166.44,119.58,"1,424"
Sysco,SYY,NYSE,Consumer Staples,Food Distributors,Houston,Texas,"58,000",1969,39.22,79.08,76.51,81.51,91.53,68.05,"1,612"
Illumina,ILMN,Nasdaq,Health Care,Life Sciences Tools & Services,San Diego,California,"9,800",1998,38.25,240.75,365.74,397.09,526.00,208.35,796
IQVIA,IQV,NYSE,Health Care,Life Sciences Tools & Services,Durham,North Carolina,"79,000",1982,38.20,201.74,265.27,242.13,285.61,195.57,723
O'Reilly Automotive,ORLY,Nasdaq,Consumer Discretionary,Specialty Stores,Springfield,Missouri,"68,679",1957,37.63,601.53,651.31,534.80,748.68,519.32,876
Agilent Technologies,A,NYSE,Health Care,Health Care Equipment,Santa Clara,California,"17,200",1999,37.55,122.40,154.78,133.23,179.57,112.64,"2,037"
Digital Realty,DLR,NYSE,Real Estate,Specialized REITs,Austin,Texas,"3,030",2004,37.32,127.67,165.11,152.44,178.22,124.35,"1,202"
Cintas,CTAS,Nasdaq,Industrials,Diversified Support Services,Mason,Ohio,"40,000",1929,37.21,358.80,439.16,355.50,461.44,340.17,313
Microchip,MCHP,Nasdaq,Information Technology,Semiconductors,Chandler,Arizona,"19,500",1989,37.07,66.01,83.31,77.38,90.00,63.34,"5,621"
Prudential,PRU,NYSE,Financials,Life & Health Insurance,Newark,New Jersey,"40,916",1875,37.01,99.58,110.19,104.37,124.22,94.51,"2,237"
Cognizant,CTSH,Nasdaq,Information Technology,IT Consulting & Other Services,Teaneck,New Jersey,"340,400",1994,36.91,70.32,80.76,71.00,93.47,66.19,"2,533"
Baxter,BAX,NYSE,Health Care,Health Care Equipment,Deerfield,Illinois,"60,000",1931,36.87,72.60,78.41,82.35,89.70,69.72,"2,323"
Electronic Arts,EA,Nasdaq,Communication Services,Interactive Home Entertainment,Redwood City,California,"11,000",1982,36.77,130.02,128.41,143.26,148.93,109.24,"4,590"
HP,HPQ,NYSE,Information Technology,"Technology Hardware, Storage & Peripherals",Palo Alto,California,"51,000",2015,36.50,35.73,32.19,31.86,41.47,26.11,"12,741"
Hilton,HLT,NYSE,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",Tysons Corner,Virginia,"142,000",1919,36.26,131.71,145.73,123.80,167.99,114.70,"1,813"
Chipotle Mexican Grill,CMG,NYSE,Consumer Discretionary,Restaurants,Newport Beach,California,"97,660",1993,36.19,"1,272.49","1,708.47","1,346.13","1,958.55","1,233.25",337
Simon,SPG,NYSE,Real Estate,Retail REITs,Indianapolis,Indiana,"2,400",2003,35.77,110.04,169.03,124.40,171.12,105.72,"1,843"
Johnson Controls,JCI,NYSE,Industrials,Building Products,Cork,Ireland,"101,000",1885,35.56,51.89,79.20,64.94,81.77,49.42,"3,806"
Aflac,AFL,NYSE,Financials,Life & Health Insurance,Columbus,Georgia,"12,447",1955,35.49,55.60,56.80,55.76,67.20,51.28,"2,348"
Baker Hughes,BKR,Nasdaq,Energy,Oil & Gas Equipment & Services,Houston,Texas,"55,000",2017,35.42,34.97,23.76,24.14,39.78,19.23,"9,359"
Walgreens Boots Alliance,WBA,Nasdaq,Consumer Staples,Drug Retail,Deerfield,Illinois,"202,000",2014,35.38,40.61,47.39,54.19,55.82,39.72,"6,889"
BNY Mellon,BK,NYSE,Financials,Asset Management & Custody Banks,New York City,New York,"49,600",1784,35.36,43.32,59.01,51.12,64.63,41.77,"4,231"
LyondellBasell,LYB,NYSE,Materials,Specialty Chemicals,Rotterdam,Netherlands,"19,100",2007,35.34,109.03,93.44,109.89,118.02,84.17,"2,359"
Hess,HES,NYSE,Energy,Integrated Oil & Gas,New York City,New York,"1,545",1919,35.28,113.43,81.58,82.43,119.43,61.93,"2,045"
SBA Communications,SBAC,Nasdaq,Real Estate,Specialized REITs,Boca Raton,Florida,"1,596",1989,35.22,319.11,348.95,298.74,391.15,286.41,599
Motorola Solutions,MSI,NYSE,Information Technology,Communications Equipment,Chicago,Illinois,"18,700",2011,35.18,210.26,257.11,203.85,273.65,198.61,"1,024"
AutoZone,AZO,NYSE,Consumer Discretionary,Specialty Stores,Memphis,Tennessee,"62,000",1979,35.17,"1,889.39","1,880.10","1,420.56","2,267.40","1,367.96",314
Kroger,KR,NYSE,Consumer Staples,Food Retail,Cincinnati,Ohio,"420,000",1883,35.08,48.00,43.06,36.46,62.78,35.91,"6,268"
Global Payments,GPN,NYSE,Information Technology,Data Processing & Outsourced Services,Atlanta,Georgia,"25,000",2000,34.38,120.47,125.05,195.11,197.97,114.80,"1,535"
Con Edison,ED,NYSE,Utilities,Electric Utilities,New York City,New York,"13,871",1823,33.95,94.82,79.17,77.81,99.22,71.17,"2,778"
MSCI,MSCI,NYSE,Financials,Financial Exchanges & Data,New York City,New York,"4,361",1969,33.83,410.02,632.34,464.61,679.85,376.41,388
Allstate,ALL,NYSE,Financials,Property & Casualty Insurance,Northfield Township,Illinois,"54,300",1931,33.83,125.79,114.90,135.15,144.46,106.11,"1,498"
PSEG,PEG,NYSE,Utilities,Electric Utilities,Newark,New Jersey,"12,684",1903,33.72,67.67,64.20,62.19,75.61,58.96,"2,330"
Parker,PH,NYSE,Industrials,Industrial Machinery,Cleveland,Ohio,"54,640",1917,33.22,262.69,329.02,304.63,340.00,253.33,592
Halliburton,HAL,NYSE,Energy,Oil & Gas Equipment & Services,Houston,Texas,"40,000",1919,33.10,36.06,22.97,21.94,42.60,17.82,"9,574"
International Flavors & Fragrances,IFF,NYSE,Materials,Specialty Chemicals,New York City,New York,"24,000",1958,32.86,129.01,147.58,141.62,157.08,113.40,777
WEC Energy Group,WEC,NYSE,Utilities,Electric Utilities,Milwaukee,Wisconsin,"6,938",1896,32.66,102.87,91.00,94.21,106.82,86.84,"1,233"
Gallagher,AJG,NYSE,Financials,Insurance Brokers,Rolling Meadows,Illinois,"39,000",1927,32.56,155.25,164.78,144.40,187.02,135.50,879
DuPont,DD,NYSE,Materials,Specialty Chemicals,Wilmington,Delaware,"28,000",2017,32.47,64.32,79.51,83.40,86.28,62.10,"2,933"
Carrier,CARR,NYSE,Industrials,Building Products,Palm Beach Gardens,Florida,"58,000",2020,32.20,37.41,54.87,44.72,58.89,36.23,"3,170"
Nucor,NUE,NYSE,Materials,Steel,Charlotte,North Carolina,"28,800",1940,31.92,120.71,119.38,100.05,187.90,87.71,"2,614"
Yum! Brands,YUM,NYSE,Consumer Discretionary,Restaurants,Louisville,Kentucky,"36,000",1997,31.92,109.97,126.59,120.60,139.85,108.55,"1,591"
Arista,ANET,NYSE,Information Technology,Communications Equipment,Santa Clara,California,"2,993",2004,31.64,101.10,126.51,84.58,148.57,80.43,"2,050"
DexCom,DXCM,Nasdaq,Health Care,Health Care Equipment,San Diego,California,"6,300",1999,31.52,316.12,590.00,353.25,659.45,302.61,601
AmerisourceBergen,ABC,NYSE,Health Care,Health Care Distributors,Chesterbrook,Pennsylvania,"38,000",1985,31.46,149.38,123.66,114.99,167.19,111.34,976
Idexx Laboratories,IDXX,Nasdaq,Health Care,Health Care Equipment,Westbrook,Maine,"10,350",1983,31.27,364.83,619.98,555.19,706.95,330.66,591
Eversource,ES,NYSE,Utilities,Multi-Utilities,Hartford,Connecticut,"9,227",1966,31.17,89.44,85.20,82.33,94.63,78.44,"1,671"
Otis,OTIS,NYSE,Industrials,Industrial Machinery,Farmington,Connecticut,"70,000",2020,31.05,72.59,83.81,77.69,92.84,71.07,"2,473"
Tyson,TSN,NYSE,Consumer Staples,Packaged Foods & Meats,Springdale,Arkansas,"137,000",1935,30.83,84.12,83.24,80.21,100.72,69.88,"1,982"
Trane Technologies,TT,NYSE,Industrials,Building Products,Dublin,Ireland,"37,000",1871,30.57,130.86,195.57,182.60,207.06,128.13,"1,194"
TransDigm,TDG,NYSE,Industrials,Aerospace & Defense,Cleveland,Ohio,"13,300",1993,30.03,541.14,625.25,612.72,688.03,531.23,422
Fastenal,FAST,Nasdaq,Industrials,Building Products,Winona,Minnesota,"21,167",1967,29.61,51.34,60.93,52.69,64.75,48.84,"3,063"
Brown–Forman,BF.B,NYSE,Consumer Staples,Distillers & Vintners,Louisville,Kentucky,"4,700",1870,29.59,61.92,74.98,79.79,80.46,60.23,"1,239"
Twitter,TWTR,NYSE,Communication Services,Interactive Media & Services,San Francisco,California,"7,500",2006,29.26,37.29,47.14,57.00,73.34,31.30,"13,601"
Biogen,BIIB,Nasdaq,Health Care,Biotechnology,Cambridge,Massachusetts,"9,610",1978,29.24,193.09,254.15,273.45,468.55,187.16,932
M&T Bank,MTB,NYSE,Financials,Regional Banks,Buffalo,New York,"17,115",1856,29.20,162.89,161.85,157.27,186.95,128.46,"1,172"
Discover,DFS,NYSE,Financials,Consumer Finance,Riverwoods,Illinois,"16,700",1985,29.17,104.08,119.37,114.30,135.69,98.38,"2,035"
ResMed,RMD,NYSE,Health Care,Health Care Equipment,San Diego,California,"7,970",1989,28.91,197.59,254.36,206.55,301.34,189.40,426
Dollar Tree,DLTR,Nasdaq,Consumer Discretionary,General Merchandise Stores,Chesapeake,Virginia,"61,886",1986,28.85,135.57,144.71,106.98,177.19,84.26,"2,612"
Oneok,OKE,NYSE,Energy,Oil & Gas Storage & Transportation,Tulsa,Oklahoma,"2,847",1906,28.38,63.29,64.01,52.66,75.07,48.51,"2,408"
PPG Industries,PPG,NYSE,Materials,Specialty Chemicals,Pittsburgh,Pennsylvania,"49,300",1883,28.26,122.67,160.43,179.10,182.97,111.32,"1,076"
Ameriprise Financial,AMP,NYSE,Financials,Asset Management & Custody Banks,Minneapolis,Minnesota,"12,000",1894,28.14,253.92,303.97,253.50,332.37,236.35,519
AvalonBay Communities,AVB,NYSE,Real Estate,Residential REITs,Arlington,Virginia,"2,927",1978,28.10,199.36,242.73,204.40,259.05,195.51,577
Mettler Toledo,MTD,NYSE,Health Care,Life Sciences Tools & Services,Columbus,Ohio,"15,600",1945,28.09,"1,219.71","1,524.19","1,287.10","1,714.75","1,168.31",120
Weyerhaeuser,WY,NYSE,Real Estate,Specialized REITs,Seattle,Washington,"9,214",1900,28.02,37.86,38.54,37.26,42.86,31.08,"5,436"
Corning,GLW,NYSE,Information Technology,Electronic Components,Corning,New York,"61,200",1851,27.98,33.52,39.43,43.81,44.30,32.24,"5,442"
Cummins,CMI,NYSE,Industrials,Industrial Machinery,Columbus,Indiana,"59,900",1919,27.84,201.88,227.84,254.35,265.09,187.72,641
Equity Residential,EQR,NYSE,Real Estate,Residential REITs,Chicago,Illinois,"2,400",1969,27.83,73.34,86.66,76.16,94.32,71.86,"2,051"
Paccar,PCAR,Nasdaq,Industrials,Construction Machinery & Heavy Trucks,Bellevue,Washington,"28,500",1905,27.75,81.42,89.94,90.55,97.56,77.96,"1,884"
Albemarle,ALB,NYSE,Materials,Specialty Chemicals,Charlotte,North Carolina,"6,000",1994,27.69,239.08,275.16,158.02,291.48,154.23,"1,003"
T. Rowe Price,TROW,Nasdaq,Financials,Asset Management & Custody Banks,Baltimore,Maryland,"7,529",1937,27.68,120.13,208.37,187.42,224.56,112.65,"1,677"
Cerner,CERN,Nasdaq,Health Care,Health Care Technology,North Kansas City,Missouri,"25,150",1979,27.62,93.92,73.93,78.12,94.46,69.08,"1,999"
Old Dominion,ODFL,Nasdaq,Industrials,Trucking,Thomasville,North Carolina,"23,663",1934,27.57,238.47,354.95,261.33,373.58,231.31,"1,021"
Keysight,KEYS,NYSE,Information Technology,Electronic Equipment & Instruments,Santa Rosa,California,"14,300",2014,27.28,137.10,195.29,139.98,209.08,127.93,"1,016"
Ametek,AME,NYSE,Industrials,Electrical Components & Equipment,Berwyn,Pennsylvania,"18,500",1930,27.10,116.71,143.11,133.12,148.07,114.37,890
Verisk,VRSK,Nasdaq,Industrials,Research & Consulting Services,Jersey City,New Jersey,"9,367",1971,26.67,168.22,229.32,173.70,231.57,164.96,606
Copart,CPRT,Nasdaq,Industrials,Diversified Support Services,Dallas,Texas,"8,600",1982,26.63,110.90,148.46,127.83,161.12,105.41,"1,417"
American Water,AWK,NYSE,Utilities,Water Utilities,Camden,New Jersey,"6,400",1886,26.46,145.05,173.08,154.92,189.65,142.36,972
Hormel,HRL,NYSE,Consumer Staples,Packaged Foods & Meats,Austin,Minnesota,"20,000",1891,26.30,47.81,43.25,49.01,55.11,40.48,"1,407"
Alexandria,ARE,NYSE,Real Estate,Office REITs,Pasadena,California,559,1994,26.07,157.82,206.45,178.35,224.95,156.94,739
First Republic,FRC,NYSE,Financials,Regional Banks,San Francisco,California,"6,452",1985,26.03,144.11,218.92,188.27,222.86,136.31,"1,117"
CBRE,CBRE,NYSE,Real Estate,Real Estate Services,Dallas,Texas,"105,000",1906,25.81,79.91,103.84,88.12,111.00,76.98,"1,454"
SVB Financial,SIVB,Nasdaq,Financials,Regional Banks,Santa Clara,California,"7,149",1983,25.58,435.50,737.31,568.54,763.22,419.60,463
Las Vegas Sands,LVS,NYSE,Consumer Discretionary,Casinos & Gaming,Las Vegas,Nevada,"44,500",1988,25.57,33.26,39.81,57.67,59.84,28.88,"5,087"
Aptiv,APTV,NYSE,Consumer Discretionary,Auto Parts & Equipment,Dublin,Ireland,"155,000",1994,25.35,94.93,170.30,141.86,180.81,88.15,"2,036"
Southwest Airlines,LUV,NYSE,Industrials,Airlines,Dallas,Texas,"58,865",1967,25.29,43.57,46.98,60.55,62.39,36.75,"3,288"
Ross,ROST,Nasdaq,Consumer Discretionary,Apparel Retail,Dublin,California,"100,000",1982,25.25,92.70,115.43,123.87,127.58,69.75,"12,790"
Edison International,EIX,NYSE,Utilities,Electric Utilities,Rosemead,California,"13,003",1886,25.10,65.85,65.52,55.75,73.32,54.14,"1,336"
DTE,DTE,NYSE,Utilities,Multi-Utilities,Detroit,Michigan,"10,300",1995,24.94,128.82,112.25,118.07,140.23,108.22,"1,438"
eBay,EBAY,Nasdaq,Consumer Discretionary,Internet & Direct Marketing Retail,San Jose,California,"10,800",1995,24.81,44.62,71.65,61.30,81.19,43.28,"6,122"
Delta Air Lines,DAL,NYSE,Industrials,Airlines,Atlanta,Georgia,"83,000",1929,24.77,39.24,39.53,46.67,48.54,29.75,"9,005"
State Street,STT,NYSE,Financials,Asset Management & Custody Banks,Boston,Massachusetts,"39,335",1792,24.77,65.96,98.20,85.36,104.87,65.41,"2,260"
Coterra,CTRA,NYSE,Energy,Oil & Gas Exploration & Production,Houston,Texas,936,1991,24.73,30.42,21.00,16.45,33.00,13.95,"9,300"
Zimmer Biomet,ZBH,NYSE,Health Care,Health Care Equipment,Warsaw,Indiana,"19,500",1927,24.65,116.91,126.53,162.69,164.90,105.23,870
Fifth Third Bank,FITB,Nasdaq,Financials,Regional Banks,Cincinnati,Ohio,"19,247",1858,24.45,35.65,44.84,41.26,50.64,34.35,"4,425"
D.R. Horton,DHI,NYSE,Consumer Discretionary,Homebuilding,Arlington,Texas,"11,788",1978,24.20,66.52,101.75,93.20,110.45,64.13,"1,941"
McCormick,MKC,NYSE,Consumer Staples,Packaged Foods & Meats,Hunt Valley,Maryland,"14,000",1889,24.20,89.44,85.41,90.30,107.35,77.85,"1,360"
FirstEnergy,FE,NYSE,Utilities,Electric Utilities,Akron,Ohio,"12,395",1997,24.19,42.02,38.94,37.62,48.85,35.42,"2,402"
Nasdaq,NDAQ,Nasdaq,Financials,Financial Exchanges & Data,New York City,New York,"5,987",1971,24.06,143.08,207.91,164.31,214.96,140.31,828
Ameren,AEE,NYSE,Utilities,Multi-Utilities,St. Louis,Missouri,"9,116",1902,23.92,92.48,85.90,83.72,99.20,79.35,"1,176"
Equifax,EFX,NYSE,Industrials,Research & Consulting Services,Atlanta,Georgia,"12,700",1899,23.81,191.16,282.95,234.93,300.11,185.76,765
Entergy,ETR,NYSE,Utilities,Electric Utilities,New Orleans,Louisiana,"12,369",1913,23.79,115.67,106.30,105.92,126.82,98.50,"1,455"
Grainger,GWW,NYSE,Industrials,Industrial Machinery,Lake Forest,Illinois,"22,700",1927,23.74,466.96,498.00,460.82,529.91,391.16,209
Rockwell Automation,ROK,NYSE,Industrials,Electrical Components & Equipment,Milwaukee,Wisconsin,"24,500",1903,23.20,198.72,345.96,260.53,354.99,191.08,702
Diamondback,FANG,Nasdaq,Energy,Oil & Gas Exploration & Production,Midland,Texas,870,2007,23.12,129.82,110.19,75.48,145.31,64.74,"3,308"
LabCorp,LH,NYSE,Health Care,Health Care Services,Burlington,North Carolina,"75,500",1978,23.04,246.43,285.91,274.45,317.17,232.01,602
Extra Space Storage,EXR,NYSE,Real Estate,Specialized REITs,Salt Lake City,Utah,"4,309",1977,23.01,169.65,200.39,147.77,228.84,145.10,542
Kellogg's,K,NYSE,Consumer Staples,Packaged Foods & Meats,Battle Creek,Michigan,"31,000",1906,22.89,68.00,63.38,66.24,75.56,59.54,"2,460"
Enphase,ENPH,Nasdaq,Information Technology,Electronic Components,Fremont,California,"2,260",2006,22.72,165.54,250.50,138.53,282.46,113.40,"1,641"
Steris,STE,NYSE,Health Care,Health Care Equipment,Dublin,Ireland,"13,000",1985,22.62,223.40,228.88,191.36,255.93,188.10,389
Ventas,VTR,NYSE,Real Estate,Health Care REITs,Chicago,Illinois,434,1998,22.59,56.09,51.04,55.40,64.02,45.44,"2,078"
West Pharmaceutical Services,WST,NYSE,Health Care,Health Care Supplies,Exton,Pennsylvania,"10,065",1923,22.27,302.21,430.69,345.36,475.35,288.12,491
Willis Towers Watson,WTW,Nasdaq,Financials,Insurance Brokers,London,UK,"44,000",2016,22.13,200.31,235.10,261.59,266.01,192.99,691
Ball,BALL,NYSE,Materials,Metal & Glass Containers,Broomfield,Colorado,"24,300",1880,22.06,69.70,94.11,85.87,98.09,67.11,"2,121"
Hartford (The),HIG,NYSE,Financials,Property & Casualty Insurance,Hartford,Connecticut,"18,100",1810,21.96,67.44,72.50,64.58,78.17,59.86,"2,032"
Ansys,ANSS,Nasdaq,Information Technology,Application Software,Canonsburg,Pennsylvania,"5,100",1969,21.93,248.00,392.21,339.19,413.89,230.72,386
Match Group,MTCH,Nasdaq,Communication Services,Interactive Media & Services,Dallas,Texas,"2,500",1986,21.90,75.05,135.07,144.26,182.00,67.87,"2,638"
Align,ALGN,Nasdaq,Health Care,Health Care Supplies,San Jose,California,"22,540",1997,21.67,273.89,657.26,594.95,737.45,250.64,982
CDW,CDW,Nasdaq,Information Technology,Technology Distributors,Lincolnshire,Illinois,"13,900",1984,21.65,161.95,195.84,166.73,208.71,155.39,847
Lennar,LEN,NYSE,Consumer Discretionary,Homebuilding,Miami,Florida,"10,753",1954,21.58,72.67,110.70,96.74,117.54,70.67,"2,069"
Northern Trust,NTRS,Nasdaq,Financials,Asset Management & Custody Banks,Chicago,Illinois,"21,100",1889,21.56,102.00,124.64,120.27,135.15,100.05,727
Church & Dwight,CHD,NYSE,Consumer Staples,Household Products,Ewing,New Jersey,"5,100",1847,21.55,88.22,94.13,86.91,105.28,80.76,"1,094"
PPL,PPL,NYSE,Utilities,Electric Utilities,Allentown,Pennsylvania,"5,607",1920,21.49,29.21,28.73,29.11,30.72,25.27,"6,783"
Paramount,PARA,Nasdaq,Communication Services,Movies & Entertainment,New York City,New York,"22,965",2019,21.28,32.22,32.95,40.90,47.46,26.11,"8,864"
Vulcan Materials,VMC,NYSE,Materials,Construction Materials,Birmingham,Alabama,"11,437",1909,21.27,160.31,199.99,182.42,213.65,156.53,727
Mosaic,MOS,NYSE,Materials,Fertilizers & Agricultural Chemicals,Tampa,Florida,"12,525",1865,20.98,61.17,36.75,34.77,79.28,28.26,"9,105"
Fortive,FTV,NYSE,Industrials,Industrial Machinery,Everett,Washington,"18,000",2016,20.89,58.58,78.37,71.63,79.87,56.06,"2,297"
Martin Marietta,MLM,NYSE,Materials,Construction Materials,Raleigh,North Carolina,"10,000",1993,20.44,324.65,421.41,362.27,446.46,316.73,533
Live Nation Entertainment,LYV,NYSE,Communication Services,Movies & Entertainment,Beverly Hills,California,"10,200",2010,20.36,90.50,112.74,90.37,127.75,74.23,"1,727"
Mid-America Apartments,MAA,NYSE,Real Estate,Residential REITs,Memphis,Tennessee,"2,429",1977,20.24,173.46,207.12,159.55,231.63,155.49,622
Gartner,IT,NYSE,Information Technology,IT Consulting & Other Services,Stamford,Connecticut,"16,600",1979,20.14,248.65,324.00,231.73,369.00,226.89,545
Tractor Supply,TSCO,Nasdaq,Consumer Discretionary,Specialty Stores,Brentwood,Tennessee,"22,000",1938,20.13,183.76,225.30,180.40,241.54,170.82,"1,362"
CF Industries,CF,NYSE,Materials,Fertilizers & Agricultural Chemicals,Deerfield,Illinois,"3,000",1946,19.98,100.35,65.24,51.79,113.49,43.19,"2,593"
CMS Energy,CMS,NYSE,Utilities,Multi-Utilities,Jackson,Michigan,"8,504",1886,19.97,69.21,61.31,63.25,73.76,57.92,"1,549"
Expedia Group,EXPE,Nasdaq,Consumer Discretionary,Internet & Direct Marketing Retail,Seattle,Washington,"14,800",1996,19.57,126.57,177.97,173.06,217.72,119.05,"3,098"
Duke Realty,DRE,NYSE,Real Estate,Industrial REITs,Indianapolis,Indiana,340,1972,19.57,51.07,59.13,46.27,66.22,45.18,"4,167"
Cincinnati Financial,CINF,Nasdaq,Financials,Property & Casualty Insurance,Fairfield,Ohio,"5,166",1950,19.56,122.67,120.94,119.25,143.22,108.88,556
Monolithic Power Systems,MPWR,Nasdaq,Information Technology,Semiconductors,Kirkland,Washington,"2,773",1997,19.50,416.69,545.84,331.35,580.00,320.01,297
Garmin,GRMN,NYSE,Consumer Discretionary,Consumer Electronics,Schaffhausen,Switzerland,"18,700",1989,19.44,100.78,142.78,140.87,178.81,97.36,579
Amcor,AMCR,NYSE,Materials,Paper Packaging,Warmley,United Kingdom,"46,000",2019,19.43,12.96,11.77,11.72,13.37,10.66,"12,764"
Hologic,HOLX,Nasdaq,Health Care,Health Care Equipment,Marlborough,Massachusetts,"6,705",1985,19.39,78.12,74.35,62.68,81.04,60.10,"1,565"
United Rentals,URI,NYSE,Industrials,Trading Companies & Distributors,Stamford,Connecticut,"20,400",1997,19.33,272.61,375.19,324.38,414.99,262.76,863
Marathon Oil,MRO,NYSE,Energy,Oil & Gas Exploration & Production,Houston,Texas,"1,531",1887,19.29,26.88,16.51,11.66,29.00,10.41,"17,318"
CenterPoint Energy,CNP,NYSE,Utilities,Multi-Utilities,Houston,Texas,"9,418",1882,19.25,30.66,26.61,24.94,33.00,24.23,"4,599"
